epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5631,1.92056,3.56449,1.93504,0.00988,1,0.03179,0.01384,2.12164,3.62625,2.52534,0.000381067,0.000381067,0.000381067
2,59.7454,1.68946,3.46355,1.99049,0.00988,1,0.03179,0.01384,2.12164,3.62625,2.52534,0.000840423,0.000840423,0.000840423
3,80.0763,1.96383,3.49286,1.93188,0.00988,1,0.03179,0.01384,2.12164,3.62625,2.52534,0.00128092,0.00128092,0.00128092
4,101.025,1.76138,3.33444,1.86092,0.00737,1,0.51466,0.25561,1.67343,3.86009,2.01286,0.00134412,0.00134412,0.00134412
5,123.437,1.84704,3.34737,1.98886,0.00737,1,0.51466,0.25561,1.67343,3.86009,2.01286,0.00131582,0.00131582,0.00131582
6,144.863,1.7177,3.36976,1.9778,0.00737,1,0.51466,0.25561,1.67343,3.86009,2.01286,0.00128753,0.00128753,0.00128753
7,165.502,1.77264,2.81854,1.86313,0.01198,1,0.05296,0.01831,2.18276,3.84963,2.73046,0.00125923,0.00125923,0.00125923
8,185.699,1.56633,2.77625,1.69492,0.01198,1,0.05296,0.01831,2.18276,3.84963,2.73046,0.00123094,0.00123094,0.00123094
9,206.148,1.60839,2.97381,1.74928,0.01198,1,0.05296,0.01831,2.18276,3.84963,2.73046,0.00120265,0.00120265,0.00120265
10,226.392,1.64817,2.54757,1.78691,0.05598,0.5,0.58042,0.41458,1.41777,3.02057,1.89036,0.00117435,0.00117435,0.00117435
11,246.072,1.53106,2.26704,1.73915,0.05598,0.5,0.58042,0.41458,1.41777,3.02057,1.89036,0.00114606,0.00114606,0.00114606
12,266.132,1.73181,2.69888,1.77375,0.05598,0.5,0.58042,0.41458,1.41777,3.02057,1.89036,0.00111776,0.00111776,0.00111776
13,288.478,1.53725,2.62466,1.64321,0.73056,0.5,0.62187,0.26119,1.74438,3.31164,2.11679,0.00108947,0.00108947,0.00108947
14,313.121,1.69306,2.74069,1.96381,0.73056,0.5,0.62187,0.26119,1.74438,3.31164,2.11679,0.00106118,0.00106118,0.00106118
15,334.223,1.52177,2.74876,1.71331,0.73056,0.5,0.62187,0.26119,1.74438,3.31164,2.11679,0.00103288,0.00103288,0.00103288
16,352.686,1.48516,2.49058,1.7377,0.85428,0.5,0.52119,0.2369,1.97032,3.01547,2.11158,0.00100459,0.00100459,0.00100459
17,377.438,1.5555,2.24369,1.6852,0.85428,0.5,0.52119,0.2369,1.97032,3.01547,2.11158,0.000976293,0.000976293,0.000976293
18,399.196,1.45259,2.38809,1.58147,0.85428,0.5,0.52119,0.2369,1.97032,3.01547,2.11158,0.000947999,0.000947999,0.000947999
19,420.023,1.41662,2.26857,1.60744,0.95201,0.5,0.51059,0.35611,1.66676,2.70811,2.06554,0.000919704,0.000919704,0.000919704
20,442.333,1.47267,2.35201,1.67119,0.95201,0.5,0.51059,0.35611,1.66676,2.70811,2.06554,0.00089141,0.00089141,0.00089141
21,463.274,1.4935,2.25633,1.57167,0.95201,0.5,0.51059,0.35611,1.66676,2.70811,2.06554,0.000863116,0.000863116,0.000863116
22,485.219,1.37481,2.12214,1.54896,0.9782,0.5,0.52011,0.25766,1.80482,2.79316,2.13802,0.000834822,0.000834822,0.000834822
23,505.078,1.29449,1.96099,1.40415,0.9782,0.5,0.52011,0.25766,1.80482,2.79316,2.13802,0.000806528,0.000806528,0.000806528
24,524.317,1.32664,2.11107,1.54214,0.9782,0.5,0.52011,0.25766,1.80482,2.79316,2.13802,0.000778233,0.000778233,0.000778233
25,543.373,1.43619,2.09256,1.61408,0.98283,0.5,0.52238,0.30401,2.28107,2.77647,2.58991,0.000749939,0.000749939,0.000749939
26,563.708,1.37099,1.86777,1.46447,0.98283,0.5,0.52238,0.30401,2.28107,2.77647,2.58991,0.000721645,0.000721645,0.000721645
27,584.224,1.3693,1.95377,1.50391,0.98283,0.5,0.52238,0.30401,2.28107,2.77647,2.58991,0.000693351,0.000693351,0.000693351
28,604.087,1.39595,1.8955,1.4832,0.98395,0.5,0.52859,0.35635,2.4202,2.22499,2.75259,0.000665057,0.000665057,0.000665057
29,623.224,1.26961,1.81842,1.40267,0.98395,0.5,0.52859,0.35635,2.4202,2.22499,2.75259,0.000636762,0.000636762,0.000636762
30,642.233,1.25304,1.90652,1.43967,0.98395,0.5,0.52859,0.35635,2.4202,2.22499,2.75259,0.000608468,0.000608468,0.000608468
31,661.397,1.28633,1.7273,1.38821,0.50955,0.98296,0.74625,0.42909,1.63119,1.79615,2.10557,0.000580174,0.000580174,0.000580174
32,680.468,1.27621,1.67981,1.4081,0.50955,0.98296,0.74625,0.42909,1.63119,1.79615,2.10557,0.00055188,0.00055188,0.00055188
33,699.592,1.14518,1.70382,1.33152,0.50955,0.98296,0.74625,0.42909,1.63119,1.79615,2.10557,0.000523586,0.000523586,0.000523586
34,718.363,1.12488,1.59052,1.27717,0.49533,0.94444,0.74625,0.44775,1.66038,1.71306,1.95085,0.000495291,0.000495291,0.000495291
35,738.562,1.34978,1.82434,1.46055,0.49533,0.94444,0.74625,0.44775,1.66038,1.71306,1.95085,0.000466997,0.000466997,0.000466997
36,757.961,1.19343,1.63153,1.35676,0.49533,0.94444,0.74625,0.44775,1.66038,1.71306,1.95085,0.000438703,0.000438703,0.000438703
37,777.316,1.19219,1.70877,1.34765,0.52597,0.99604,0.74625,0.44775,1.73339,1.64295,2.06053,0.000410409,0.000410409,0.000410409
38,796.788,1.45441,2.28739,1.71379,0.52597,0.99604,0.74625,0.44775,1.73339,1.64295,2.06053,0.000382115,0.000382115,0.000382115
39,815.992,1.22304,1.72721,1.37912,0.52597,0.99604,0.74625,0.44775,1.73339,1.64295,2.06053,0.00035382,0.00035382,0.00035382
40,835.766,1.0582,1.64627,1.30299,0.46938,1,0.74625,0.44775,1.67081,1.57551,2.07129,0.000325526,0.000325526,0.000325526
41,860.841,1.04842,2.23191,1.42158,0.46938,1,0.74625,0.44775,1.67081,1.57551,2.07129,0.000297232,0.000297232,0.000297232
42,883.108,1.03558,2.11656,1.31528,0.46938,1,0.74625,0.44775,1.67081,1.57551,2.07129,0.000268938,0.000268938,0.000268938
43,902.564,1.04177,1.80641,1.26357,0.48322,1,0.995,0.597,1.60233,1.51872,1.98356,0.000240644,0.000240644,0.000240644
44,922.852,1.15747,2.15322,1.50929,0.48322,1,0.995,0.597,1.60233,1.51872,1.98356,0.000212349,0.000212349,0.000212349
45,942.947,1.12366,2.07034,1.43015,0.48322,1,0.995,0.597,1.60233,1.51872,1.98356,0.000184055,0.000184055,0.000184055
46,964.077,0.97951,1.85663,1.28175,0.58527,1,0.995,0.597,1.63116,1.50589,1.99696,0.000155761,0.000155761,0.000155761
47,986.029,1.04228,2.10578,1.37338,0.58527,1,0.995,0.597,1.63116,1.50589,1.99696,0.000127467,0.000127467,0.000127467
48,1006.96,1.06149,2.09887,1.32628,0.58527,1,0.995,0.597,1.63116,1.50589,1.99696,9.91726e-05,9.91726e-05,9.91726e-05
49,1026.83,0.95096,1.80714,1.29552,0.58488,1,0.995,0.597,1.65554,1.55152,2.00485,7.08784e-05,7.08784e-05,7.08784e-05
50,1048.77,1.03843,1.89707,1.33505,0.58488,1,0.995,0.597,1.65554,1.55152,2.00485,4.25842e-05,4.25842e-05,4.25842e-05
